timestamp_iso,timestamp_unix,type,severity,metric_name,value,unit,deviation_std,is_anomaly,message,block_number,tx_hash,details
2026-01-27T05:16:11Z,1769490971,TPS_NORMAL,info,tps,21.07,K TPS,0.12,False,,,,
2026-01-27T05:16:11Z,1769490971,BLOCK_TIME_NORMAL,info,block_interval,9.213,ms,-0.99,False,,,,
2026-01-27T05:23:11Z,1769491391,GAS_NORMAL,info,gas_per_second,2051.02,MGas/s,0.08,False,,,,
2026-01-27T05:23:11Z,1769491391,TPS_NORMAL,info,tps,21.05,K TPS,0.09,False,,,,
2026-01-27T05:23:11Z,1769491391,BLOCK_TIME_NORMAL,info,block_interval,9.197,ms,-1.14,False,,,,
2026-01-27T05:30:11Z,1769491811,GAS_NORMAL,info,gas_per_second,2050.86,MGas/s,0.08,False,,,,
2026-01-27T05:30:11Z,1769491811,TPS_NORMAL,info,tps,21.05,K TPS,0.09,False,,,,
2026-01-27T05:30:11Z,1769491811,BLOCK_TIME_NORMAL,info,block_interval,9.2,ms,-1.12,False,,,,
2026-01-27T05:37:11Z,1769492231,GAS_NORMAL,info,gas_per_second,2053.13,MGas/s,0.14,False,,,,
2026-01-27T05:37:11Z,1769492231,TPS_NORMAL,info,tps,21.07,K TPS,0.13,False,,,,
2026-01-27T05:37:11Z,1769492231,BLOCK_TIME_NORMAL,info,block_interval,9.215,ms,-0.97,False,,,,
2026-01-27T05:44:11Z,1769492651,GAS_NORMAL,info,gas_per_second,2052.27,MGas/s,0.11,False,,,,
2026-01-27T05:44:11Z,1769492651,TPS_NORMAL,info,tps,21.06,K TPS,0.11,False,,,,
2026-01-27T05:44:11Z,1769492651,BLOCK_TIME_NORMAL,info,block_interval,9.194,ms,-1.17,False,,,,
2026-01-27T05:51:11Z,1769493071,GAS_NORMAL,info,gas_per_second,2052.79,MGas/s,0.13,False,,,,
2026-01-27T05:51:11Z,1769493071,TPS_NORMAL,info,tps,21.07,K TPS,0.12,False,,,,
2026-01-27T05:51:11Z,1769493071,BLOCK_TIME_NORMAL,info,block_interval,9.209,ms,-1.03,False,,,,
2026-01-27T05:58:11Z,1769493491,GAS_NORMAL,info,gas_per_second,2051.65,MGas/s,0.1,False,,,,
2026-01-27T05:58:11Z,1769493491,TPS_NORMAL,info,tps,21.05,K TPS,0.1,False,,,,
2026-01-27T05:58:11Z,1769493491,BLOCK_TIME_NORMAL,info,block_interval,9.19,ms,-1.21,False,,,,
2026-01-27T06:05:11Z,1769493911,GAS_NORMAL,info,gas_per_second,2052.24,MGas/s,0.11,False,,,,
2026-01-27T06:05:11Z,1769493911,TPS_NORMAL,info,tps,21.06,K TPS,0.11,False,,,,
2026-01-27T06:05:11Z,1769493911,BLOCK_TIME_NORMAL,info,block_interval,9.208,ms,-1.04,False,,,,
2026-01-27T06:12:11Z,1769494331,GAS_NORMAL,info,gas_per_second,2052.04,MGas/s,0.11,False,,,,
2026-01-27T06:12:11Z,1769494331,TPS_NORMAL,info,tps,21.06,K TPS,0.11,False,,,,
2026-01-27T06:12:11Z,1769494331,BLOCK_TIME_NORMAL,info,block_interval,9.216,ms,-0.97,False,,,,
2026-01-27T06:19:11Z,1769494751,GAS_NORMAL,info,gas_per_second,2053.17,MGas/s,0.14,False,,,,
2026-01-27T06:19:11Z,1769494751,TPS_NORMAL,info,tps,21.07,K TPS,0.13,False,,,,
2026-01-27T06:19:11Z,1769494751,BLOCK_TIME_NORMAL,info,block_interval,9.205,ms,-1.06,False,,,,
2026-01-27T06:26:11Z,1769495171,GAS_NORMAL,info,gas_per_second,2054.94,MGas/s,0.19,False,,,,
2026-01-27T06:26:11Z,1769495171,TPS_NORMAL,info,tps,21.08,K TPS,0.15,False,,,,
2026-01-27T06:26:11Z,1769495171,BLOCK_TIME_NORMAL,info,block_interval,9.211,ms,-1.02,False,,,,
